sample_id,strategy,result_age_rating,status,answer__blood,answer__drugs,answer__fear,answer__gambling,answer__language,answer__purchases,answer__sexual_content,answer__ugc,answer__violence,visible_question_count,skipped_question_count,content_descriptor_count,interactive_element_count
97f5497107124dd78e5febbe164afafb,synthetic_all,3+,success,not_visible,no,no,no,no,no,no,none,no,8,1,0,0
4c3ed6b5cde7408ea94ff0d3a9b4b8ba,synthetic_all,3+,success,not_visible,no,no,no,no,no,no,none,mild,8,1,0,0
79a527cd7957498a98511d16999f12a3,synthetic_all,7+,success,not_visible,no,no,no,no,no,no,none,realistic,8,1,0,0
1fb29f6ced404da4aa1dd17c9a2947b6,synthetic_all,12+,success,not_visible,no,no,no,no,no,no,none,graphic,8,1,0,0
309322fe2bf749c5ac3923811cd6c6a6,synthetic_all,3+,success,not_visible,no,no,no,no,no,no,none,no,8,1,0,0
1688e8baf0884eef82bc4e54be8aaf3c,synthetic_all,3+,success,not_visible,no,no,no,no,no,no,none,no,8,1,0,0
58ad4573149e4e3dbe437744f82bd387,synthetic_all,3+,success,not_visible,no,no,no,no,no,suggestive,none,no,8,1,0,0
881408d1ab8f4a4a97e5a37e3b9d4bd4,synthetic_all,3+,success,not_visible,no,no,no,no,no,no,none,no,8,1,0,0
4b2b2c24a285489391ca7e8ff35f2d57,synthetic_all,3+,success,not_visible,no,no,no,no,yes,no,none,no,8,1,0,0
870359164b7c40e1af3bed0468f246b2,synthetic_all,3+,success,not_visible,no,no,no,no,no,no,user_generated_content,no,8,1,0,0
996d37b6f68e48bcb659d38600063bef,synthetic_all,3+,success,not_visible,no,no,no,no,yes,no,user_generated_content,no,8,1,0,0
cdbe21c76ce44d2a80434b34b3edeed7,synthetic_all,3+,success,not_visible,no,no,no,no,no,no,chat,no,8,1,0,0
ddc4ad6512014efbb2b69e5ea46b39ab,synthetic_all,3+,success,not_visible,no,no,no,no,yes,no,chat,no,8,1,0,0
03290fc55adf4786b80ad0f41d256f35,synthetic_all,3+,success,not_visible,no,no,no,no,no,no,location_sharing,no,8,1,0,0
ddb3cd5f03b34ea6b19547c7e8dbdf78,synthetic_all,16+,success,not_visible,use,intense,simulated,no,no,no,none,mild,8,1,0,0
ef812259c0834a84879db751b3544396,synthetic_all,12+,success,not_visible,no,intense,simulated,no,yes,suggestive,none,no,8,1,0,0
f688b2f4103044eab4f5bb308281e944,synthetic_all,18+,success,not_visible,no,intense,simulated,mild,no,nudity,none,realistic,8,1,0,0
33837b4eff234cfd956addd10c91eaf0,synthetic_all,12+,success,not_visible,reference,intense,no,strong,yes,suggestive,none,no,8,1,0,0
97f131f0a1454332a33cb1dc8cb488d1,synthetic_all,18+,success,no,reference,no,no,strong,no,explicit,none,realistic,9,0,0,0
81402d1437214da486e6de30cd2733ae,synthetic_all,12+,success,not_visible,no,no,no,mild,yes,nudity,none,no,8,1,0,0
4fd384a2340d44c5bab60f17b46b4add,synthetic_all,12+,success,not_visible,no,intense,no,mild,yes,no,chat,mild,8,1,0,0
e64d5658980e41738de0a07bfab82f93,synthetic_all,18+,success,gore,no,no,no,no,yes,nudity,none,graphic,9,0,0,0
c44dd71b6ad0403a9e23f24b36aedf6a,synthetic_all,16+,success,not_visible,use,no,no,no,yes,suggestive,none,graphic,8,1,0,0
380799f2a20948e6a61d193bd598edf6,synthetic_all,18+,success,not_visible,no,intense,real_money,no,no,explicit,none,no,8,1,0,0
485324859d57400d8dbc15938cd918a5,synthetic_all,12+,success,not_visible,no,no,simulated,no,no,suggestive,none,mild,8,1,0,0
4b515ac073d04c1aab027dbaa461c6a2,synthetic_all,7+,success,not_visible,reference,no,no,mild,no,no,none,no,8,1,0,0
1c3c419385864410a50e744924b9cb39,synthetic_all,7+,success,not_visible,no,no,no,no,no,no,none,realistic,8,1,0,0
d1de8636a3424642a3822405eb582b23,synthetic_all,7+,success,not_visible,reference,no,no,no,no,no,user_generated_content,no,8,1,0,0
ec3b54af67104bc498dce7c10dcb525e,synthetic_all,12+,success,not_visible,no,mild,simulated,no,no,suggestive,none,no,8,1,0,0
427f24376f1d4f67bc677931008deb52,synthetic_all,7+,success,not_visible,no,mild,simulated,no,no,no,none,no,8,1,0,0
