feature,importance
answer__drugs_use,0.09923822141240951
high_risk_count,0.07667678316029329
drug_score,0.07557242093223572
sexual_content_score,0.06439995228684268
answer__violence_realistic,0.06310772009870304
answer__sexual_content_no,0.05272730592540342
answer__drugs_no,0.04662945470766449
answer__violence_no,0.041272738687741145
medium_risk_count,0.0378909030767609
skipped_question_count,0.03161185713213082
visible_question_count,0.030799043992906894
triggered_branch_count,0.030639061226771642
answer__sexual_content_explicit,0.028331466805065722
answer__sexual_content_suggestive,0.027140536546371954
answer__fear_intense,0.026743583793190445
violence_score,0.019458111819302133
answer__language_no,0.01913838024807566
fear_score,0.018600666951829936
answer__blood_not_visible,0.018471404273153018
answer__purchases_yes,0.01787236201648871
interaction_score,0.01719141646098931
answer__fear_no,0.01655100432637519
language_score,0.01584698664560686
answer__purchases_no,0.015215302320067594
answer__gambling_simulated,0.01511147544061521
answer__violence_graphic,0.012351884674728602
answer__ugc_none,0.011812545395296204
answer__gambling_no,0.011587989964590869
gambling_score,0.011451001323164492
answer__violence_mild,0.010704729654692942
ugc_score,0.008732850557308137
answer__language_mild,0.006729882582963719
answer__ugc_user_generated_content,0.006396784150223323
answer__ugc_chat,0.004909033146669622
answer__sexual_content_nudity,0.004078225633558616
answer__drugs_reference,0.0031412081111519947
answer__language_strong,0.0018657045186563682
answer__blood_no,0.0
interactive_element_count,0.0
strategy_synthetic_all,0.0
answer__ugc_location_sharing,0.0
answer__gambling_real_money,0.0
answer__fear_mild,0.0
content_descriptor_count,0.0
answer__blood_gore,0.0
