feature,importance_mean
answer__violence_realistic,0.11111111111111109
answer__drugs_reference,0.04444444444444443
answer__fear_mild,0.011111111111111108
answer__violence_no,0.0
answer__purchases_yes,0.0
skipped_question_count,0.0
answer__gambling_no,0.0
answer__gambling_real_money,0.0
answer__gambling_simulated,0.0
answer__language_strong,0.0
answer__purchases_no,0.0
answer__sexual_content_explicit,0.0
answer__violence_mild,0.0
answer__drugs_use,0.0
answer__sexual_content_nudity,0.0
answer__sexual_content_suggestive,0.0
answer__ugc_chat,0.0
answer__ugc_location_sharing,0.0
answer__ugc_user_generated_content,0.0
answer__violence_graphic,0.0
answer__sexual_content_no,0.0
visible_question_count,0.0
answer__drugs_no,0.0
high_risk_count,0.0
content_descriptor_count,0.0
interactive_element_count,0.0
violence_score,0.0
sexual_content_score,0.0
drug_score,0.0
gambling_score,0.0
fear_score,0.0
answer__blood_not_visible,0.0
interaction_score,0.0
medium_risk_count,0.0
triggered_branch_count,0.0
strategy_synthetic_all,0.0
answer__blood_gore,0.0
answer__blood_no,0.0
answer__fear_intense,0.0
ugc_score,-0.011111111111111108
answer__language_mild,-0.011111111111111108
answer__ugc_none,-0.011111111111111108
answer__fear_no,-0.011111111111111108
answer__language_no,-0.022222222222222216
language_score,-0.022222222222222216
